n,vin,lpf_out,filter_out,dac_out
0,0.000000,0.000000,0.000000,0.000000
1,0.439667,0.037781,0.037109,0.001633
2,0.927399,0.156433,0.156250,0.005199
3,0.999969,0.332977,0.332031,0.007855
4,0.999969,0.534210,0.534180,0.009037
5,0.999969,0.730713,0.730469,0.008884
6,0.999969,0.887878,0.887695,0.007177
7,0.999969,0.978394,0.977539,0.004222
8,0.906036,0.992950,0.992188,0.000812
9,0.422180,0.932861,0.932617,-0.002562
10,-0.091400,0.782806,0.782227,-0.006596
11,-0.623718,0.575897,0.575195,-0.009228
12,-0.999969,0.334137,0.333984,-0.010848
13,-0.999969,0.036346,0.036133,-0.013340
14,-0.999969,-0.268494,-0.268555,-0.013752
15,-0.999969,-0.549652,-0.549805,-0.012746
16,-0.999969,-0.775482,-0.776367,-0.010312
17,-0.999969,-0.921997,-0.922852,-0.006778
18,-0.999969,-0.981049,-0.981445,-0.002845
19,-0.623901,-0.963165,-0.963867,0.000650
20,-0.108734,-0.838379,-0.838867,0.005422
21,0.423889,-0.659637,-0.660156,0.007960
22,0.913391,-0.441437,-0.442383,0.009775
23,0.999969,-0.160583,-0.161133,0.012561
24,0.999969,0.130676,0.129883,0.013132
25,0.999969,0.400238,0.399414,0.012218
26,0.999969,0.617126,0.616211,0.009902
27,0.999969,0.756592,0.755859,0.006456
28,0.902710,0.807770,0.807617,0.002491
29,0.426208,0.789337,0.789062,-0.000689
30,-0.093719,0.657349,0.657227,-0.005735
31,-0.630066,0.482330,0.481445,-0.007812
32,-0.999969,0.250397,0.250000,-0.010362
33,-0.999969,-0.031616,-0.032227,-0.012637
34,-0.999969,-0.323639,-0.324219,-0.013168
35,-0.999969,-0.594574,-0.594727,-0.012279
36,-0.999969,-0.812469,-0.812500,-0.009948
37,-0.999969,-0.952759,-0.953125,-0.006493
38,-0.999969,-0.999969,-1.000000,-0.002321
39,-0.626038,-0.986572,-0.987305,0.000479
40,-0.107910,-0.853241,-0.853516,0.005783
41,0.426178,-0.675476,-0.675781,0.007933
42,0.912445,-0.451416,-0.452148,0.010027
43,0.999969,-0.169067,-0.169922,0.012637
44,0.999969,0.123901,0.123047,0.013209
45,0.999969,0.394440,0.393555,0.012264
46,0.999969,0.612518,0.612305,0.009956
47,0.999969,0.753204,0.752930,0.006511
48,0.901459,0.803711,0.803711,0.002464
49,0.428314,0.789612,0.789062,-0.000503
50,-0.094879,0.654510,0.654297,-0.005861
51,-0.632629,0.484222,0.483398,-0.007613
52,-0.999969,0.248108,0.248047,-0.010534
53,-0.999969,-0.033539,-0.034180,-0.012628
54,-0.999969,-0.325226,-0.326172,-0.013153
55,-0.999969,-0.595642,-0.595703,-0.012256
56,-0.999969,-0.813538,-0.814453,-0.009947
57,-0.999969,-0.954132,-0.955078,-0.006507
58,-0.999969,-0.999969,-1.000000,-0.002262
59,-0.628876,-0.990906,-0.991211,0.000294
60,-0.106781,-0.851807,-0.852539,0.006025
61,0.428802,-0.678711,-0.678711,0.007742
62,0.912018,-0.450684,-0.451172,0.010190
63,0.999969,-0.168671,-0.168945,0.012629
64,0.999969,0.124268,0.124023,0.013207
65,0.999969,0.394562,0.394531,0.012253
66,0.999969,0.612732,0.612305,0.009959
67,0.999969,0.753693,0.752930,0.006523
68,0.900574,0.803192,0.802734,0.002421
69,0.430145,0.792053,0.791992,-0.000377
70,-0.095825,0.654175,0.653320,-0.005976
71,-0.634460,0.487335,0.487305,-0.007469
72,-0.999969,0.247681,0.247070,-0.010681
73,-0.999969,-0.034027,-0.034180,-0.012637
74,-0.999969,-0.325623,-0.326172,-0.013149
75,-0.999969,-0.595825,-0.596680,-0.012247
76,-0.999969,-0.813873,-0.814453,-0.009954
77,-0.999969,-0.954803,-0.955078,-0.006521
78,-0.999969,-0.999969,-1.000000,-0.002234
79,-0.631256,-0.994019,-0.994141,0.000161
80,-0.105804,-0.850708,-0.851562,0.006201
81,0.430695,-0.681213,-0.681641,0.007594
82,0.912018,-0.450104,-0.450195,0.010317
83,0.999969,-0.168304,-0.168945,0.012626
84,0.999969,0.124634,0.124023,0.013207
85,0.999969,0.394714,0.394531,0.012244
86,0.999969,0.612976,0.612305,0.009963
87,0.999969,0.754150,0.753906,0.006532
88,0.899963,0.802917,0.802734,0.002390
89,0.431580,0.793945,0.793945,-0.000284
90,-0.096497,0.654053,0.653320,-0.006059
91,-0.635712,0.489746,0.489258,-0.007363
92,-0.999969,0.247528,0.247070,-0.010787
93,-0.999969,-0.034302,-0.035156,-0.012647
94,-0.999969,-0.325073,-0.325195,-0.013114
95,-0.999969,-0.595856,-0.596680,-0.012270
96,-0.999969,-0.813446,-0.813477,-0.009935
97,-0.999969,-0.953400,-0.954102,-0.006478
98,-0.999969,-0.999969,-1.000000,-0.002293
99,-0.62509